data,deputy,link,assets
2017-03-30T00:00:00,Дейдей Євген Сергійович,https://declarations.com.ua/declaration/nacp_dcf15b0e-7ace-4c44-adb3-8031fedd6c84,2 432 194  
2017-03-31T00:00:00,Демчак Руслан Євгенійович,https://declarations.com.ua/declaration/nacp_63e35dce-50bd-455b-92ca-82d9e936fb60,124 339 622  
2017-03-28T00:00:00,Денисенко Анатолій Петрович,https://declarations.com.ua/declaration/nacp_6211309f-8f79-49d2-b52e-75ac7245343c,86 096 267  
2017-03-22T00:00:00,Денисенко Андрій Сергійович,https://declarations.com.ua/declaration/nacp_50466788-746a-4430-acd8-d9378d06570a,5 050 000  
2017-03-29T00:00:00,Денисенко Вадим Ігорович,https://declarations.com.ua/declaration/nacp_93bb8623-2931-4eac-a211-aa5f209be7a1,2 575 550  
2017-03-30T00:00:00,Денісова Людмила Леонтіївна,https://declarations.com.ua/declaration/nacp_1703b8c8-78e5-4376-aeb0-a266cd6763c5,9 359 085  
2017-03-30T00:00:00,Дерев'янко Юрій Богданович,https://declarations.com.ua/declaration/nacp_bb094824-99a9-4528-ac85-e51f69ac6ff7,416 272 386  
2017-03-30T00:00:00,Деркач Андрій Леонідович,https://declarations.com.ua/declaration/nacp_57efa754-e9bd-4826-be9f-627a78e62a00,1 469 984  
2017-03-20T00:00:00,Дехтярчук Олександр Володимирович,https://declarations.com.ua/declaration/nacp_390bbfd8-a2a1-446f-9ad2-bd870abdaf7b,287 206  
2017-04-05T00:00:00,Джемілєв Мустафа ,https://declarations.com.ua/declaration/nacp_71498f7b-ba99-4407-9d59-dae995e6924e,1 717 773  
2017-03-31T00:00:00,Дзензерський Денис Вікторович,https://declarations.com.ua/declaration/nacp_a8e03b76-4850-4ee2-94de-2c38a4686a94,123 215 043  
2017-03-29T00:00:00,Дзюблик Павло Володимирович,https://declarations.com.ua/declaration/nacp_9568b1d1-f523-4ada-90c5-b743ac7bef3a,1 421 366  
2017-03-30T00:00:00,Дирів Анатолій Борисович,https://declarations.com.ua/declaration/nacp_e47d5f55-80b1-42ba-8dd4-af6c254da56d,310 000  
2017-03-31T00:00:00,Діденко Ігор Анатолійович,https://declarations.com.ua/declaration/nacp_21a237d4-93f6-4f52-b957-188001f8b119,0
2017-03-29T00:00:00,Дідич Валентин Володимирович,https://declarations.com.ua/declaration/nacp_cd0fb492-66cf-4519-bbbd-b959d24b0211,2 899 827  
2017-03-21T00:00:00,Дмитренко Олег Миколайович,https://declarations.com.ua/declaration/nacp_17006e5d-e763-423c-b78b-b630675b6a42,1 850 000  
2017-03-30T00:00:00,Добкін Дмитро Маркович,https://declarations.com.ua/declaration/nacp_c4ec2ada-ff1b-467b-bd46-62ee7e3ab138,18 722 600  
2017-04-06T00:00:00,Добкін Михайло Маркович,https://declarations.com.ua/declaration/nacp_96f964c7-ccc3-48f0-81f5-37aaadc3a601,54 726 710  
2017-04-04T00:00:00,Добродомов Дмитро Євгенович,https://declarations.com.ua/declaration/nacp_4832650a-9248-4251-8ed4-4e18f99d6956,1 372 346  
